name,channel,section,frame,EndNodes_1,EndNodes_2,node_Idx_1,node_Idx_2,Name,Type,Weight,Original,Original_cv,Intensity,Intensity_cv,Gradient,Gradient_cv,Width_initial,Width_initial_cv,Width_intact,Length,Number,Midpoint,Tortuosity,Distance,Width,Width_cv,Area,Volume,Resistance_2,Resistance_4,Resistance_2ave,Resistance_4ave,Or_ij,Or_ji,Region,Route_factor,Accessibility,Accessibility_ratio,Betweenness,cord_Rank,cord_Disconnected,cord_meanDisconnect,spatial_Disconnected,spatial_meanDisconnect,Ai,Aj
DF56(6)_t09,1,1,1,20,46,4773245,5953323,1830,E,10.39957523,0.949613869,0.103997476,0.967756093,0.084641829,173.7474823,0.176374078,5.366499424,0.095469482,1,113.7401047,99,5363276,1.082111001,4459.354492,5.366499424,0.095469482,22.61893082,2572.679443,10.39957523,0.400111318,40.22828674,5.587394714,-28.85566122,167.3474435,3036.693027,1.224337578,0.002008568,8.956915855,26370,5,1,2,1,2,0,0
DF56(6)_t09,1,1,1,22,39,4812224,5618976,1831,E,8.673510551,0.965490222,0.098573364,0.970405281,0.0729146,180.9199982,0.182834566,5.414467335,0.081466936,1,96.78173065,75,5197541,1.060211897,4592.010254,5.414467335,0.081466936,23.02509117,2228.408203,8.673510551,0.320696503,33.62652588,4.588075161,-40.15599962,135,2874.510462,1.097126842,0.001600723,7.350536823,15828,1,1,2,10,11,0,0
DF56(6)_t09,1,1,1,23,29,4944579,5077072,13,E,5.400265217,0.778263271,0.136899546,0.831372499,0.16573523,118.1999969,0.166657463,4.352000237,0.150984362,1,38.14213562,35,4932554,1.159555078,4589.567871,4.246409416,0.136961848,14.16229534,540.1801758,5.400265217,0.363729656,21.54573631,4.779447079,93.36646066,-124.6951535,895.2553465,1.102987289,0.001593243,7.312295914,5278,8,2,3,10,11,0,0
DF56(6)_t09,1,1,1,24,40,4956523,5630864,14,E,8.963003159,0.809356689,0.240466416,0.852494001,0.251498848,138.7719269,0.319841981,4.671916962,0.254080266,1,60.55635071,57,5293689,1.061086535,4523.623047,4.647095203,0.261255503,16.96106148,1027.099976,8.963003159,0.899738371,28.56252861,5.290460587,-19.65382406,177.70939,1734.377208,1.106718302,0.001602783,7.250383854,5278,12,2,3,1,2,0,0
DF56(6)_t09,1,1,1,25,35,4965474,5374903,15,E,4.325076103,0.796414435,0.192071974,0.895910501,0.172180668,137.0857086,0.220617414,4.653569221,0.157071978,1,35.24263763,35,5170187,1.036100149,4608.728516,4.564840794,0.153529808,16.36594772,576.7791748,4.325076103,0.259266675,17.22730064,3.306937218,-3.366460663,-171.8698976,1005.400817,1.248011827,0.001920388,8.850548744,5278,10,1,2,1,2,0,0
DF56(6)_t09,1,1,1,26,38,4965664,5519632,16,E,10.25762367,0.726013124,0.292112738,0.845947683,0.21527262,135.6999969,0.306173414,4.551098347,0.225436509,1,68.52690887,60,5314890,1.173158407,4530.215332,4.495892525,0.227591455,15.87529182,1087.884644,10.25762367,0.79840219,34.53261185,6.833725929,15.42216132,-124.2157021,1805.697521,1.232185841,0.001958286,8.871458054,5278,13,1,2,1,2,0,0
DF56(6)_t09,1,1,1,27,28,5037658,5013576,17,E,0.229672536,0.984313726,0.027602402,1,0,189.6666718,0.075366542,5.599999905,0,1,2.828427076,3,5025617,1,4644.243164,5.599999905,0,24.63008499,69.66439819,0.229672536,0.007323741,0.918690145,0.117179863,-45,135,238.9704812,1.252009153,0.001904567,8.845274925,5278,2,1,2,1,2,0,0
DF56(6)_t09,1,1,1,27,35,5013576,5374903,1832,E,6.373271942,0.940080762,0.134693205,0.996136189,0.013250137,179,0.126417518,5.551637173,0.024058737,1,79.42640686,68,5266491,1.081959128,4614.909668,5.550171852,0.02438321,24.19372559,1921.620728,6.373271942,0.207686037,26.26347351,3.410352707,57.17145821,-104.82648,2415.007569,1.250044107,0.001916619,8.845023155,15828,10,1,2,1,2,0,0
DF56(6)_t09,1,1,1,29,39,5077072,5618976,1833,E,4.569741249,0.925319672,0.14928849,0.953367472,0.09785375,161.0869598,0.18822369,5.26814127,0.109245293,1,50.79898834,46,5342002,1.077905774,4567.103516,5.244988441,0.112224057,21.60622787,1097.574463,4.569741249,0.186763361,18.80901718,2.734872103,15.2551187,-160.7099538,1208.840501,1.097747922,0.001605998,7.334759235,15828,20,2,3,10,11,0,0
DF56(6)_t09,1,1,1,30,44,5111080,5773358,18,E,25.82152176,0.597227871,0.291766763,0.625084579,0.301802099,89.31034851,0.293274075,3.189378262,0.283272386,1,69.42640686,58,5424156,1.091065407,4317.567871,3.189378262,0.283272386,7.989174843,554.659729,25.82152176,9.350326538,69.52047729,27.33761597,-31.60750225,151.1134182,1091.925207,1.289152861,0.001868172,8.065957069,5278,5,1,2,7,8,0,0
DF56(6)_t09,1,1,1,31,33,5195083,5134870,19,E,1.22712338,0.826470613,0.231355384,0.736764729,0.282015443,106.625,0.297971636,4.074069023,0.268602669,1,7.414213657,8,5183038,1.271527171,4383.93457,3.619411707,0.228525072,10.28882694,76.28356171,1.22712338,0.117523298,5.764865875,1.760245562,0,-108.4349488,184.9067516,1.286876917,0.001957425,8.581221581,5278,14,1,2,7,8,0,0
DF56(6)_t09,1,1,1,31,34,5134870,5219201,1834,E,6.861540318,0.83704859,0.144478023,0.795665622,0.219798476,117.2105255,0.261064947,4.21603775,0.241626352,1,40.72792053,38,5195098,1.081568718,4378.902344,4.097412109,0.23735559,13.18588161,537.0335083,6.861540318,0.600722432,24.71001816,5.887267113,74.475889,-100.6196553,609.2410553,1.282606125,0.001973044,8.6397686,10550,4,1,2,7,8,0,0
DF56(6)_t09,1,1,1,32,36,5182561,5459558,6060,E,19.42974472,0.601027071,0.360141098,0.671708584,0.427296579,101.3333359,0.476003498,3.450130939,0.422501594,1,46.38477325,42,5411369,1.201661944,4480.677734,3.284755945,0.419597298,8.47414875,393.0714722,19.42974472,5.960929394,43.78943634,16.23390961,27.7585406,-102.5288077,648.5405314,1.224237919,0.001965332,8.806020737,5278,7,1,2,1,2,0,0
DF56(6)_t09,1,1,1,34,74,5219201,7013551,1835,E,15.38368988,0.974306107,0.04945673,1,0,206.9675293,0.059421226,5.600001812,3.41709E-07,1,189.4508057,154,6086288,1.081869721,4291.236328,5.600001812,3.41709E-07,24.63010216,4666.192871,15.38368988,0.490551174,61.53472137,7.84881115,41.18592517,-159.362453,6388.920228,1.282258511,0.002017315,8.656775475,36904,2,1,2,7,8,0,0
DF56(6)_t09,1,1,1,35,51,5374903,6241998,1836,E,8.615110397,1,0,1,0,207.0123444,0.051822402,5.599998474,2.5704E-07,1,106.0954361,81,5760287,1.04921627,4547.602051,5.599998474,2.5704E-07,24.63007355,2613.138428,8.615110397,0.274716526,34.46045303,4.395468235,51.34019175,-142.2243157,3619.553328,1.249583483,0.001944549,8.843037605,26370,6,1,2,1,2,0,0
DF56(6)_t09,1,1,1,36,43,5459558,5712454,1838,E,2.179461956,0.988948286,0.027244139,1,0,183.9545441,0.080008402,5.594259262,0.003032084,1,26.79898643,22,5579983,1.061814547,4456.67627,5.594259262,0.003032084,24.57961464,658.7087402,2.179461956,0.06960649,8.722345352,1.114828587,26.56505118,-140.7105931,691.2464796,1.223609924,0.002007971,8.948875427,15828,10,1,2,1,2,0,0
DF56(6)_t09,1,1,1,37,56,5483352,6458814,20,E,14.37523651,0.867655873,0.22342059,0.912453711,0.177342385,166.738739,0.301789582,5.006118298,0.186856791,1,123.6690369,111,5796495,1.226853609,4516.220215,4.989621639,0.189007714,19.55352783,2418.166016,14.37523651,0.962771952,50.59712601,8.129252434,62.98733465,-170.1806994,3341.145387,1.246051073,0.001954935,8.828917503,5278,15,1,2,1,2,0,0
DF56(6)_t09,1,1,1,38,68,5519632,6916524,1839,E,12.05491066,0.941243529,0.169957817,0.953276336,0.128887624,200.0854645,0.235952899,5.333912373,0.130612671,1,125.941124,117,6218083,1.069913387,4446.40625,5.326910496,0.132252291,22.28643799,2806.779053,12.05491066,0.570715249,45.20816803,6.372737885,14.50016677,-174.8055711,3559.280333,1.234093547,0.002002025,8.901815414,15828,19,1,2,1,2,0,0
DF56(6)_t09,1,1,1,39,58,5618976,6534122,1840,E,7.718512535,1,0,1,0,202.7792206,0.045195021,5.599998474,2.57124E-07,1,95.05381775,77,6076551,1.06998086,4505.107422,5.599998474,2.57124E-07,24.63007355,2341.182617,7.718512535,0.246126071,30.87406731,3.938020945,-28.92642584,146.6592927,3020.94564,1.096750498,0.001622003,7.30729866,36904,2,2,3,10,11,0,0
